Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
08/1991,,63561,,0.01,,
09/1991,,60995,,0.00,,
10/1991,,52683,,0.52,,
11/1991,,51299,,0.10,,
12/1991,,52853,,6.41,,
01/1992,,52900,,3.00,,
02/1992,,139080,,13.84,,
03/1992,,165104,,5.18,,
04/1992,,177998,,0.06,,
05/1992,,178576,,0.00,,
06/1992,,176066,,0.00,,
07/1992,,171291,,0.07,,
08/1992,,163600,,0.00,,
09/1992,,156536,,0.41,,
10/1992,,152881,,0.79,,
11/1992,,150457,,0.00,,
12/1992,,150687,,5.47,,
01/1993,,191051,,11.85,,
02/1993,,191540,,12.09,,
03/1993,,191327,,6.08,,
04/1993,,191050,,0.02,,
05/1993,,191110,,0.00,,
06/1993,,189804,,0.41,,
07/1993,,186218,,0.00,,
08/1993,,181498,,0.00,,
09/1993,,177479,,0.00,,
10/1993,,174288,,0.00,,
11/1993,,172418,,1.06,,
12/1993,,172417,,2.21,,
01/1994,,171741,,1.65,,
02/1994,,179453,,7.54,,
03/1994,,181764,,2.90,,
04/1994,,180942,,0.15,,
05/1994,,179160,,0.90,,
06/1994,,175042,,--,,
07/1994,,167743,,--,,
08/1994,,157887,,--,,
09/1994,,150508,,--,,
10/1994,,146266,,1.03,,
11/1994,,143966,,1.39,,
12/1994,,142580,,0.93,,
01/1995,,162841,,25.13,,
02/1995,,144191,,1.95,,
03/1995,,143842,,12.28,,
04/1995,,143867,,0.46,,
05/1995,,144791,,1.78,,
06/1995,,144591,,0.48,,
07/1995,,141767,,0.00,,
08/1995,,138256,,0.00,,
09/1995,,134855,,0.00,,
10/1995,,131787,,0.00,,
11/1995,,129995,,0.30,,
12/1995,,128584,,1.35,,
01/1996,,128079,,2.16,,
02/1996,,143991,,6.92,,
03/1996,,151173,,1.84,,
04/1996,,151458,,0.57,,
05/1996,,148769,,0.19,,
06/1996,,144890,,0.00,,
07/1996,,136068,,0.02,,
08/1996,,127665,,0.00,,
09/1996,,120193,,0.00,,
10/1996,,116138,,0.30,,
11/1996,,115514,,2.42,,
12/1996,,123510,,4.29,,
01/1997,,150713,,4.39,,
02/1997,,159748,,0.18,,
03/1997,,160632,,0.02,,
04/1997,,158364,,0.00,,
05/1997,,154231,,0.00,,
06/1997,,150124,,0.00,,
07/1997,,141101,,0.00,,
08/1997,,132260,,0.00,,
09/1997,,124545,,0.18,,
10/1997,,119380,,0.00,,
11/1997,,118439,,4.00,,
12/1997,,131835,,10.11,,
01/1998,,141791,,6.09,,
02/1998,,184394,,23.30,,
03/1998,,190807,,3.40,,
04/1998,,192642,,2.90,,
05/1998,,192642,,3.12,,
06/1998,,192917,,0.03,,
07/1998,,192459,,0.00,,
08/1998,,189078,,0.00,,
09/1998,,185500,,0.46,,
10/1998,,181764,,0.12,,
11/1998,,180095,,1.38,,
12/1998,,179248,,1.31,,
01/1999,,178664,,3.19,,
02/1999,,180562,,1.54,,
03/1999,,183714,,5.71,,
04/1999,,186666,,3.23,,
05/1999,,184246,,0.02,,
06/1999,,181293,,0.07,,
07/1999,,177479,,0.05,,
08/1999,,172954,,0.02,,
09/1999,,168771,,0.03,,
10/1999,,164170,,0.00,,
11/1999,,161489,,1.62,,
12/1999,,158099,,0.00,,
01/2000,,156142,,1.94,,
02/2000,,171741,,10.37,,
03/2000,,188987,,2.76,,
04/2000,,192917,,4.73,,
05/2000,,191755,,0.01,,
06/2000,,188503,,0.04,,
07/2000,,183094,,0.00,,
08/2000,,178403,,0.00,,
09/2000,,170840,,0.00,,
10/2000,,167548,,2.64,,
11/2000,,164880,,0.00,,
12/2000,,162354,,0.09,,
01/2001,,165594,r,8.40,,
02/2001,,177451,,5.71,,
03/2001,,192948,r,13.44,,
04/2001,,194364,,1.35,,
05/2001,,193101,,0.06,,
06/2001,,189260,,0.00,,
07/2001,,182055,,0.06,,
08/2001,,177377,,0.00,,
09/2001,,173479,,0.00,,
10/2001,,170389,,0.62,,
11/2001,,169558,,3.27,,
12/2001,,169005,,2.66,r,
01/2002,,168451,,0.87,,
02/2002,,166392,,0.24,,
03/2002,,163996,,0.79,,
04/2002,,160951,,0.13,,
05/2002,,157252,,0.12,,
06/2002,,151091,,0.00,,
07/2002,,145399,,0.00,,
08/2002,,135511,,0.00,,
09/2002,,129370,,0.08,,
10/2002,,125055,,0.00,,
11/2002,,124045,,2.50,,
12/2002,,124921,,6.73,,
01/2003,,123170,,0.06,,
02/2003,,122969,,3.56,,
03/2003,,125167,,2.40,,
04/2003,,126756,,2.15,,
