Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
03/2012,,73953,,
04/2012,,73840,,
05/2012,,73840,,
06/2012,,71809,,
07/2012,,71642,,
08/2012,,73129,,
09/2012,,72013,,
10/2012,,73129,,
11/2012,,74253,,
12/2012,,69417,,
01/2013,,62531,,
02/2013,,71753,,
03/2013,,73279,,
04/2013,,71902,,
05/2013,,72868,,
06/2013,,68832,,
07/2013,,69217,,
08/2013,,70830,,
09/2013,,72570,,
10/2013,,73279,,
11/2013,,73541,,
12/2013,,72459,,
01/2014,,72217,,
02/2014,,73691,,
03/2014,,69381,,
04/2014,,63053,,
05/2014,,61527,,
06/2014,,60120,,
07/2014,,61838,,
08/2014,,62062,,
09/2014,,55245,,
10/2014,,49860,e,
11/2014,,45649,,
12/2014,,49954,,
01/2015,,46545,,
02/2015,,45181,,
03/2015,,50269,,
04/2015,,51378,,
05/2015,,52177,,
06/2015,,48391,,
07/2015,,47157,,
08/2015,,46851,,
09/2015,,46851,,
10/2015,,46698,,
11/2015,,46393,,
12/2015,,46393,,
01/2016,,--,,
