Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
09/2000,,850828,,
10/2000,,1051945,,
11/2000,,1299262,,
12/2000,,1470439,,
01/2001,,1595959,,
02/2001,,1797186,,
03/2001,,1977986,,
04/2001,,1910991,,
05/2001,,1493135,,
06/2001,,1033071,,
07/2001,,829778,,
08/2001,,760039,,
09/2001,,829590,,
10/2001,,764056,,
11/2001,,964447,,
12/2001,,1385632,,
01/2002,,1807066,,
02/2002,,1925324,,
03/2002,,2027963,,
04/2002,,1844188,,
05/2002,,1402950,,
06/2002,,873969,,
07/2002,,646887,,
08/2002,,643876,,
09/2002,,688435,,
10/2002,,649730,,
11/2002,,787573,,
12/2002,,1010089,,
01/2003,,1437576,,
02/2003,,1739389,,
03/2003,,1953851,,
04/2003,,1818676,,
05/2003,,1428330,,
06/2003,,1217645,,
07/2003,,918347,,
08/2003,,787480,,
09/2003,,939243,,
10/2003,,961975,,
11/2003,,1122517,,
12/2003,,1316540,,
01/2004,,1664413,,
02/2004,,1878476,,
03/2004,,2020089,,
04/2004,,1768145,,
05/2004,,1213592,,
06/2004,,719890,,
07/2004,,492864,,
08/2004,,498397,,
09/2004,,670373,,
10/2004,,787850,,
11/2004,,1057649,,
12/2004,,1283146,,
01/2005,,1810485,,
02/2005,,1968294,,
03/2005,,2029615,,
04/2005,,1898434,,
05/2005,,1696202,,
06/2005,,1566575,,
07/2005,,1343373,,
08/2005,,1197211,,
09/2005,,1328065,,
10/2005,,1462938,,
11/2005,,1627412,,
12/2005,,1893469,,
01/2006,,2030250,,
02/2006,,2019836,,
03/2006,,2031649,,
04/2006,,2024025,,
05/2006,,1897192,,
06/2006,,1696202,,
07/2006,,1398138,,
08/2006,,1235614,,
09/2006,,1313144,,
10/2006,,1460894,,
11/2006,,1651022,,
12/2006,,1922081,,
01/2007,,1942573,,
02/2007,,1895951,,
03/2007,,1792436,,
04/2007,,1566575,,
05/2007,,1023273,,
06/2007,,509533,,
07/2007,,411629,,
08/2007,,476786,,
09/2007,,639414,,
10/2007,,811518,,
11/2007,,1038843,,
12/2007,,1313034,,
01/2008,,1542231,,
02/2008,,1774814,,
03/2008,,1690949,,
04/2008,,1464301,,
