Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
04/2008,,1707115,,
05/2008,,1765513,,
06/2008,,1521481,,
07/2008,,1296076,,
08/2008,,1127759,,
09/2008,,1097190,,
10/2008,,1029201,,
11/2008,,999087,,
12/2008,,981102,,
01/2009,,1020262,,
02/2009,,1360571,,
03/2009,,1977695,,
04/2009,,2055092,,
05/2009,,2282265,,
06/2009,,2057141,,
07/2009,,1553150,,
08/2009,,1383116,,
09/2009,,1336524,,
10/2009,,1290389,,
11/2009,,1136561,,
12/2009,,1029538,,
01/2010,,1190456,,
02/2010,,1385646,,
03/2010,,1650006,,
04/2010,,2113554,,
05/2010,,2493582,,
06/2010,,2719225,,
07/2010,,2408098,,
08/2010,,2040149,,
09/2010,,1755185,,
10/2010,,1701643,,
11/2010,,1637776,,
12/2010,,2180485,,
01/2011,,2439164,,
02/2011,,2684110,,
03/2011,,2839996,,
04/2011,,3305375,,
05/2011,,3399667,,
06/2011,,3515021,,
07/2011,,3499471,,
08/2011,,3308537,,
09/2011,,3044665,,
10/2011,,2895802,,
11/2011,,2806607,,
12/2011,,2545085,,
01/2012,,2544960,,
02/2012,,2519738,,
03/2012,,2942669,,
04/2012,,3422147,,
05/2012,,3499941,,
06/2012,,3225696,,
07/2012,,2672806,,
08/2012,,2229540,,
09/2012,,1977171,,
10/2012,,1826464,,
11/2012,,1861555,,
12/2012,,2524968,,
01/2013,,2691914,,
02/2013,,2848116,,
03/2013,,2981941,,
04/2013,,3040407,,
05/2013,,2812109,,
06/2013,,2557762,,
07/2013,,2143724,,
08/2013,,1783469,,
09/2013,,1633287,,
10/2013,,1528375,,
11/2013,,1391616,,
12/2013,,1285882,,
01/2014,,1262049,,
02/2014,,1406989,,
03/2014,,1716103,,
04/2014,,1876552,,
05/2014,,1734181,,
06/2014,,1511388,,
07/2014,,1252662,,
08/2014,,1100386,,
09/2014,,1075879,,
10/2014,,953720,,
11/2014,,910446,,
12/2014,,1346988,,
01/2015,,1443957,,
02/2015,,1735519,,
03/2015,,1793611,,
04/2015,,1782496,,
05/2015,,1565377,,
06/2015,,1395387,,
07/2015,,1161959,,
08/2015,,1072117,,
09/2015,,1057227,,
10/2015,,1006530,,
11/2015,,929152,,
12/2015,,1016837,,
01/2016,,--,,
