Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
05/2014,,87359,,
06/2014,,75346,,
07/2014,,63068,,
08/2014,,51859,,
09/2014,,44093,,
10/2014,,41163,,
11/2014,,40465,,
12/2014,,49624,,
01/2015,,50099,,
02/2015,,66272,,
03/2015,,65362,,
04/2015,,63478,,
05/2015,,58559,,
06/2015,,51722,,
07/2015,,42836,,
08/2015,,34216,,
09/2015,,28142,,
10/2015,,26164,,
11/2015,,24582,,
12/2015,,37899,,
01/2016,,--,,
