Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
07/1982,,95712,,--,,
08/1982,,25333,,--,,
09/1982,,30963,,--,,
10/1982,,25896,,--,,
11/1982,,23924,,--,,
12/1982,,66291,,--,,
01/1983,,70543,,--,,
02/1983,,75456,,--,,
03/1983,,70364,,--,,
04/1983,,--,,--,,
05/1983,,74788,,--,,
06/1983,,144806,,--,,
07/1983,,138858,,--,,
08/1983,,80109,,--,,
09/1983,,28685,,--,,
10/1983,,13151,,--,,
11/1983,,41276,,--,,
12/1983,,63746,,--,,
01/1984,,38337,,--,,
02/1984,,25363,,--,,
03/1984,,36765,,--,,
04/1984,,83997,,--,,
05/1984,,141894,,--,,
06/1984,,95904,,--,,
07/1984,,38103,,--,,
08/1984,,11592,,--,,
09/1984,,11691,,--,,
10/1984,,15975,,--,,
11/1984,,14088,,--,,
12/1984,,9075,,--,,
01/1985,,12678,,--,,
02/1985,,10824,,--,,
03/1985,,27723,,--,,
04/1985,,95090,,--,,
05/1985,,141914,,--,,
06/1985,,88281,,--,,
07/1985,,22075,,--,,
08/1985,,8012,,--,,
09/1985,,10344,,--,,
10/1985,,13987,,--,,
11/1985,,19184,,--,,
12/1985,,9697,,--,,
01/1986,,15754,,--,,
02/1986,,76470,,4.65,,
03/1986,,69474,,5.29,,
04/1986,,68861,,0.31,,
05/1986,,117552,,0.00,,
06/1986,,133520,,0.00,,
07/1986,,64505,,0.00,,
08/1986,,20115,,0.00,,
09/1986,,11485,,--,,
10/1986,,17390,,0.28,,
11/1986,,20950,,0.51,,
12/1986,,12090,,0.95,,
01/1987,,16160,,2.11,,
02/1987,,12250,,2.75,,
03/1987,,30670,,2.33,,
04/1987,,69410,,0.31,,
05/1987,,105920,,0.10,,
06/1987,,65111,,0.04,,
07/1987,,24574,,0.08,,
08/1987,,12723,,0.00,,
09/1987,,9636,,0.00,,
10/1987,,8727,,0.43,,
11/1987,,13797,,0.93,,
12/1987,,13959,,2.16,,
01/1988,,9560,,3.11,,
02/1988,,18315,,0.16,,
03/1988,,33807,,0.83,,
04/1988,,62680,,2.55,,
05/1988,,101873,,0.75,,
06/1988,,85262,,0.00,,
07/1988,,28033,,--,,
08/1988,,6508,,--,,
09/1988,,5926,,0.05,,
10/1988,,5660,,0.00,,
11/1988,,9382,,0.40,,
12/1988,,13325,,1.89,,
01/1989,,15482,,0.32,,
02/1989,,17261,,1.42,,
03/1989,,35756,,3.14,,
04/1989,,92432,,--,,
05/1989,,129022,,--,,
06/1989,,60285,,--,,
07/1989,,14700,,--,,
08/1989,,7334,,--,,
09/1989,,7058,,--,,
10/1989,,8281,,0.23,,
11/1989,,9410,,0.56,,
12/1989,,8870,,0.00,,
01/1990,,9863,,--,,
02/1990,,12367,,--,,
03/1990,,29677,,--,,
04/1990,,57458,,--,,
05/1990,,88527,,--,,
06/1990,,52388,,--,,
07/1990,,15037,,--,,
08/1990,,11113,,--,,
09/1990,,8913,,--,,
10/1990,,7424,,--,,
11/1990,,7527,,--,,
12/1990,,8655,,--,,
01/1991,,11125,,--,,
02/1991,,12332,,--,,
03/1991,,48462,,--,,
04/1991,,85111,,--,,
05/1991,,141569,,--,,
06/1991,,103640,,--,,
07/1991,,21920,,--,,
08/1991,,9361,,--,,
09/1991,,8418,,--,,
10/1991,,9633,,--,,
11/1991,,14277,,--,,
12/1991,,8563,,--,,
01/1992,,10926,,--,,
02/1992,,6490,,3.85,,
03/1992,,20599,,2.48,,
04/1992,,57545,,0.00,,
05/1992,,88881,,0.05,,
06/1992,,33528,,--,,
07/1992,,11579,,0.10,,
08/1992,,7705,,0.00,,
09/1992,,6263,,0.02,,
10/1992,,9435,,1.58,,
11/1992,,9608,,0.00,,
12/1992,,9372,,4.09,,
01/1993,,9863,,5.47,,
02/1993,,7297,,4.58,,
03/1993,,45150,,2.89,,
04/1993,,87575,,0.14,,
05/1993,,137989,,0.19,,
06/1993,,122476,,1.16,,
07/1993,,37186,,0.00,,
08/1993,,6741,,0.00,,
09/1993,,4557,,0.00,,
10/1993,,5031,,0.56,,
11/1993,,7092,,2.23,,
12/1993,,8090,,1.34,,
01/1994,,7997,,1.17,,
02/1994,,6503,,3.05,,
03/1994,,28394,,1.33,,
04/1994,,61765,,1.56,,
05/1994,,118131,,1.34,,
06/1994,,96432,,--,,
07/1994,,27525,,--,,
08/1994,,3153,,--,,
09/1994,,2865,,--,,
10/1994,,7112,,0.76,,
11/1994,,8259,,2.08,,
12/1994,,8256,,2.02,,
01/1995,,6609,,6.67,,
02/1995,,7899,,1.03,,
03/1995,,70942,,8.28,,
04/1995,,44154,,1.73,,
05/1995,,107417,,2.48,,
06/1995,,142638,,0.43,,
07/1995,,105621,,0.00,,
08/1995,,68547,,0.00,,
09/1995,,8396,,0.00,,
10/1995,,10176,,0.00,,
11/1995,,10050,,0.00,,
12/1995,,8215,,2.05,,
01/1996,,11875,,4.01,,
02/1996,,23098,,4.44,,
03/1996,,19589,,1.45,,
04/1996,,93614,,1.34,,
05/1996,,140011,,0.33,,
06/1996,,125008,,0.00,,
07/1996,,44838,,0.00,,
08/1996,,9812,,0.00,,
09/1996,,10653,,0.00,,
10/1996,,7084,,1.38,,
11/1996,,16323,,4.06,,
12/1996,,28523,,5.71,,
01/1997,,91334,,7.41,,
02/1997,,43613,,0.42,,
03/1997,,35896,,0.46,,
04/1997,,88712,,0.00,,
05/1997,,143422,,0.00,,
06/1997,,104537,,0.00,,
07/1997,,42461,,0.05,,
08/1997,,8655,,0.00,,
09/1997,,10205,,0.04,,
10/1997,,7497,,1.45,,
11/1997,,10665,,3.48,,
12/1997,,6749,,2.31,,
01/1998,,9326,,4.47,,
02/1998,,49706,,6.33,,
03/1998,,66038,,6.29,,
04/1998,,95696,,2.54,,
05/1998,,71842,,1.38,,
06/1998,,146889,,0.50,,
07/1998,,143135,,0.00,,
08/1998,,82964,,0.00,,
09/1998,,28685,,0.04,,
10/1998,,21994,,0.16,,
11/1998,,10031,,1.69,,
12/1998,,8655,,0.51,,
01/1999,,11065,,5.71,,
02/1999,,10002,,1.73,,
03/1999,,30861,,0.93,,
04/1999,,66812,,2.05,,
05/1999,,136129,,0.73,,
06/1999,,113666,,0.03,,
07/1999,,41992,,0.00,,
08/1999,,6161,,0.00,,
09/1999,,5847,,0.69,,
10/1999,,5582,,0.00,,
11/1999,,8616,,1.31,,
12/1999,,11509,,0.00,,
01/2000,,22319,,3.93,,
02/2000,,36443,,7.14,,
03/2000,,42909,,2.30,,
04/2000,,89856,,1.66,,
05/2000,,142829,,0.67,,
06/2000,,110027,,0.51,,
07/2000,,39055,,0.09,,
08/2000,,7627,,0.00,,
09/2000,,8168,,0.12,,
10/2000,,12224,,1.97,,
11/2000,,12006,,0.17,,
12/2000,,8583,,0.05,,
01/2001,,15006,,3.01,,
02/2001,,28057,,3.20,,
03/2001,,50037,,0.32,,
04/2001,,98656,,3.81,e,
05/2001,,139613,,0.00,,
06/2001,,94914,,0.00,,
07/2001,,14966,,0.14,,
08/2001,,5730,,0.00,,
09/2001,,4407,,0.00,,
10/2001,,4066,,0.41,,
11/2001,,13543,,2.67,,
12/2001,,22183,,4.42,,
01/2002,,20889,,1.42,,
02/2002,,17785,,0.29,,
03/2002,,44463,,1.85,,
04/2002,,100038,,0.77,,
05/2002,,137349,,0.73,,
06/2002,,101314,,0.00,,
07/2002,,29751,,0.00,,
08/2002,,9859,,0.00,,
09/2002,,8890,,0.00,,
10/2002,,8853,,0.00,,
11/2002,,12143,,3.95,,
12/2002,,12956,,2.74,,
01/2003,,16114,,0.27,,
02/2003,,12384,,1.88,,
03/2003,,51722,,0.81,,
04/2003,,100610,,2.55,,
05/2003,,119896,,1.21,,
06/2003,,86156,,0.00,,
07/2003,,14340,,0.11,,
08/2003,,9611,,0.00,,
09/2003,,6128,,0.00,,
10/2003,,5658,,0.08,,
11/2003,,9586,,0.91,,
12/2003,,15586,,3.42,,
01/2004,,15467,,1.35,,
02/2004,,32585,,3.87,,
03/2004,,72134,,0.81,,
04/2004,,104121,,0.50,,
05/2004,,145440,,0.02,,
06/2004,,95090,,0.00,,
07/2004,,29198,,0.00,,
08/2004,,10157,,0.00,,
09/2004,,9274,,0.00,,
10/2004,,13436,,2.15,,
11/2004,,13750,,1.52,,
12/2004,,15991,,2.71,,
01/2005,,8325,,3.84,,
02/2005,,22346,,2.20,,
03/2005,,58813,,2.63,,
04/2005,,80741,,0.56,,
05/2005,,171218,,2.34,,
06/2005,,184017,,1.00,,
07/2005,,121334,,0.00,,
08/2005,,24075,,0.05,,
09/2005,,13693,,0.00,,
10/2005,,14156,,0.21,,
11/2005,,17115,,0.13,,
12/2005,,20039,,3.44,,
01/2006,,19732,,4.29,,
02/2006,,25000,,0.85,,
03/2006,,60450,,5.59,,
04/2006,,132703,,4.49,,
05/2006,,180176,,0.52,,
06/2006,,178397,,0.00,,
07/2006,,106425,,0.00,,
08/2006,,31117,,0.00,,
09/2006,,11109,,0.00,,
10/2006,,13806,,0.24,,
11/2006,,17020,,0.12,,
12/2006,,22931,,2.41,,
01/2007,,14880,,0.57,,
02/2007,,24523,,2.72,,
03/2007,,52283,,1.91,,
04/2007,,88158,,1.09,,
05/2007,,129315,,0.07,,
06/2007,,91194,,0.00,,
07/2007,,34874,,0.00,,
08/2007,,14253,,0.00,,
09/2007,,11896,,0.37,,
10/2007,,11875,,0.55,,
11/2007,,13792,,0.47,,
12/2007,,19503,,2.34,,
01/2008,,32190,,2.21,,
02/2008,,40292,,3.30,,
03/2008,,42836,,0.20,,
04/2008,,92762,,0.00,,
05/2008,,168636,,0.14,,
06/2008,,133222,,0.00,,
07/2008,,35569,,0.00,,
08/2008,,13599,,0.00,,
09/2008,,11241,,0.00,,
10/2008,,11666,,0.23,,
11/2008,,21393,,2.15,,
12/2008,,16313,,2.00,,
01/2009,,34948,,0.89,,
02/2009,,34525,,2.46,,
03/2009,,63785,,0.53,r,
04/2009,,114653,,0.73,,
05/2009,,182839,,0.50,,
06/2009,,109448,,0.42,,
07/2009,,31789,,0.00,,
08/2009,,11862,,0.00,,
09/2009,,9615,,0.00,,
10/2009,,17958,,1.50,,
11/2009,,14112,,0.10,,
