Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
01/2005,,513577,r,
02/2005,,575230,r,
03/2005,,735733,r,
04/2005,,839480,r,
05/2005,,938389,r,
06/2005,,914373,r,
07/2005,,806924,r,
08/2005,,734649,r,
09/2005,,708042,r,
10/2005,,674903,,
11/2005,,638414,,
12/2005,,836422,,
01/2006,,734384,,
02/2006,,759964,,
03/2006,,805695,,
04/2006,,899183,,
05/2006,,937447,,
06/2006,,899915,,
07/2006,,788282,,
08/2006,,722443,,
09/2006,,696553,,
10/2006,,668370,,
11/2006,,655089,,
12/2006,,687888,,
01/2007,,674620,,
02/2007,,744239,,
03/2007,,809782,,
04/2007,,856834,,
05/2007,,852806,,
06/2007,,804072,,
07/2007,,725698,,
08/2007,,656767,,
09/2007,,617540,,
10/2007,,585715,,
11/2007,,545297,,
12/2007,,528218,,
01/2008,,545463,,
02/2008,,575202,,
03/2008,,646484,,
04/2008,,695857,,
05/2008,,755556,,
06/2008,,719116,,
07/2008,,639565,,
08/2008,,567818,,
09/2008,,522525,,
10/2008,,488384,,
11/2008,,475970,,
12/2008,,460199,,
01/2009,,476213,,
02/2009,,575030,,
03/2009,,772971,,
04/2009,,817896,,
05/2009,,929339,,
06/2009,,860003,,
07/2009,,758088,,
08/2009,,652426,,
09/2009,,613539,,
10/2009,,586166,,
11/2009,,554042,,
12/2009,,546229,,
01/2010,,581557,,
02/2010,,615691,,
03/2010,,684245,,
04/2010,,807019,,
05/2010,,902823,,
06/2010,,923919,,
07/2010,,783914,,
08/2010,,664341,,
09/2010,,625263,,
10/2010,,618636,,
11/2010,,626021,,
12/2010,,737391,,
01/2011,,696669,,
02/2011,,689598,,
03/2011,,785677,,
04/2011,,883998,,
05/2011,,914374,,
06/2011,,955576,,
07/2011,,866097,,
08/2011,,730542,,
09/2011,,701244,,
10/2011,,688133,,
11/2011,,665965,,
12/2011,,643088,,
01/2012,,648858,,
02/2012,,650976,,
03/2012,,817167,,
04/2012,,930228,,
05/2012,,946445,,
06/2012,,895539,,
07/2012,,790090,,
08/2012,,675662,,
09/2012,,628020,,
10/2012,,588353,,
11/2012,,623424,,
12/2012,,793291,,
01/2013,,778658,,
02/2013,,774422,,
03/2013,,804629,,
04/2013,,835960,,
05/2013,,788113,,
06/2013,,738555,,
07/2013,,653914,,
08/2013,,577203,,
09/2013,,549808,,
10/2013,,504897,,
11/2013,,460880,r,
12/2013,,431288,,
01/2014,,404486,,
02/2014,,481008,,
03/2014,,600640,,
04/2014,,670314,,
05/2014,,644872,,
06/2014,,591279,,
07/2014,,512858,,
08/2014,,445395,,
09/2014,,418880,,
10/2014,,389977,,
11/2014,,389977,,
12/2014,,484892,,
01/2015,,502942,,
02/2015,,595707,,
03/2015,,601769,,
04/2015,,585744,,
05/2015,,558043,,
06/2015,,515357,,
07/2015,,462055,,
08/2015,,421546,,
09/2015,,396336,,
10/2015,,364043,,
11/2015,,343543,,
12/2015,,394648,,
01/2016,,--,,
