Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
07/2011,,297740,,
08/2011,,293312,,
09/2011,,284056,,
10/2011,,278295,,
11/2011,,283043,,
12/2011,,277131,,
01/2012,,283869,,
02/2012,,290368,,
03/2012,,292553,,
04/2012,,296359,,
05/2012,,308036,,
06/2012,,299104,,
07/2012,,284201,,
08/2012,,273737,,
09/2012,,264266,,
10/2012,,238029,,
11/2012,,257062,,
12/2012,,291312,,
01/2013,,286525,,
02/2013,,284532,,
03/2013,,283311,,
04/2013,,284201,,
05/2013,,274304,,
06/2013,,254815,,
07/2013,,292048,,
08/2013,,285382,,
09/2013,,284946,,
10/2013,,277539,,
11/2013,,273575,,
12/2013,,287691,,
01/2014,,278786,,
02/2014,,272605,,
03/2014,,268500,,
04/2014,,249928,,
05/2014,,202688,,
06/2014,,154266,,
07/2014,,155212,,
08/2014,,134066,,
09/2014,,108491,,
10/2014,,98394,,
11/2014,,98394,,
12/2014,,119376,,
01/2015,,114057,,
02/2015,,98394,,
03/2015,,93255,,
04/2015,,100060,,
05/2015,,112652,,
06/2015,,110498,,
07/2015,,127118,,
08/2015,,119245,,
09/2015,,114442,,
10/2015,,104169,,
11/2015,,108117,,
12/2015,,129984,,
01/2016,,--,,
