Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
01/2001,,194300,r,
02/2001,,191000,r,
03/2001,,188700,r,
04/2001,,188800,r,
05/2001,,187000,r,
06/2001,,180900,r,
07/2001,,174300,e,
08/2001,,166200,r,
09/2001,,160300,r,
10/2001,,156600,r,
11/2001,,155600,r,
12/2001,,154200,r,
01/2002,,153900,r,
02/2002,,153600,r,
03/2002,,151700,r,
04/2002,,144300,r,
05/2002,,133300,r,
06/2002,,120800,r,
07/2002,,113803,,
08/2002,,110800,r,
09/2002,,110100,r,
10/2002,,108700,r,
11/2002,,108600,r,
12/2002,,113218,,
01/2003,,116276,,
02/2003,,114638,,
03/2003,,125173,,
04/2003,,128241,,
05/2003,,139729,,
06/2003,,157000,r,
07/2003,,147900,r,
08/2003,,143700,r,
09/2003,,139421,r,
10/2003,,137377,,
11/2003,,136995,r,
12/2003,,134400,r,
01/2004,,130400,r,
02/2004,,129900,r,
03/2004,,135800,r,
04/2004,,141000,r,
05/2004,,132600,r,
06/2004,,125293,,
07/2004,,113100,r,
08/2004,,108200,r,
09/2004,,106300,r,
10/2004,,104001,,
11/2004,,104000,r,
12/2004,,104000,r,
01/2005,,102300,r,
02/2005,,103000,r,
03/2005,,108900,r,
04/2005,,125600,r,
05/2005,,172400,r,
06/2005,,191100,r,
07/2005,,180600,r,
08/2005,,175500,r,
09/2005,,172000,r,
10/2005,,171684,,
11/2005,,171100,r,
12/2005,,191600,r,
01/2006,,204273,,
02/2006,,207200,r,
03/2006,,204100,r,
04/2006,,211900,r,
05/2006,,221700,r,
06/2006,,231100,r,
07/2006,,215800,r,
08/2006,,208500,r,
09/2006,,204200,r,
10/2006,,202200,r,
11/2006,,202100,,
12/2006,,201700,,
01/2007,,198100,,
02/2007,,194600,,
03/2007,,190400,,
04/2007,,185100,,
05/2007,,166900,,
06/2007,,160100,,
07/2007,,156300,r,
08/2007,,152300,r,
09/2007,,149500,r,
10/2007,,149218,,
11/2007,,147700,,
12/2007,,146300,,
01/2008,,147200,,
02/2008,,144500,,
03/2008,,141200,,
04/2008,,142600,r,
05/2008,,148200,r,
06/2008,,140500,r,
07/2008,,131400,r,
08/2008,,123100,r,
09/2008,,115700,r,
10/2008,,112725,,
11/2008,,107900,,
12/2008,,101300,,
01/2009,,94600,,
02/2009,,91232,,
03/2009,,89700,r,
04/2009,,96947,,
05/2009,,125100,r,
06/2009,,128000,r,
07/2009,,123400,r,
08/2009,,116100,r,
09/2009,,111900,r,
10/2009,,112100,,
11/2009,,110700,,
12/2009,,108940,,
01/2010,,108023,,
02/2010,,104835,,
03/2010,,95820,,
04/2010,,100589,,
05/2010,,121633,,
06/2010,,149459,,
07/2010,,145200,,
08/2010,,137835,,
09/2010,,131600,,
10/2010,,134321,,
11/2010,,136412,,
12/2010,,143868,,
01/2011,,148800,,
02/2011,,153300,,
03/2011,,163180,,
04/2011,,191809,,
05/2011,,209300,,
06/2011,,230200,,
07/2011,,220100,,
08/2011,,210100,,
09/2011,,205998,,
10/2011,,201138,,
11/2011,,199982,,
12/2011,,198893,,
01/2012,,199821,,
02/2012,,199757,,
03/2012,,201556,,
04/2012,,208651,,
05/2012,,203600,,
06/2012,,188817,,
07/2012,,181985,,
08/2012,,176800,,
09/2012,,173818,,
10/2012,,171102,,
11/2012,,169510,,
12/2012,,175615,,
01/2013,,171859,,
02/2013,,168732,,
03/2013,,167212,,
04/2013,,164112,,
05/2013,,147404,,
06/2013,,136742,,
07/2013,,132946,,
08/2013,,126931,,
09/2013,,124200,,
10/2013,,122057,,
11/2013,,118000,,
12/2013,,114389,,
01/2014,,111542,,
02/2014,,110500,,
03/2014,,101900,,
04/2014,,90225,,
05/2014,,73900,,
06/2014,,63700,,
07/2014,,60600,,
08/2014,,58200,,
09/2014,,56300,,
10/2014,,54552,,
11/2014,,53900,,
12/2014,,57200,,
01/2015,,51089,,
02/2015,,52500,,
03/2015,,46700,,
04/2015,,42340,,
05/2015,,39262,,
06/2015,,37300,,
07/2015,,34641,,
08/2015,,31300,,
09/2015,,29100,,
10/2015,,28289,,
11/2015,,27000,,
12/2015,,27200,,
01/2016,,--,,
