Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
06/1986,,996415,,0.00,,
07/1986,,846730,,0.00,,
08/1986,,627946,,0.00,,
09/1986,,561057,,0.63,,
10/1986,,533300,,0.00,,
11/1986,,563800,,0.14,,
12/1986,,590400,,0.56,,
01/1987,,612800,,2.89,,
02/1987,,633400,,3.74,,
03/1987,,611700,,3.05,,
04/1987,,740500,,0.00,,
05/1987,,784800,,--,,
06/1987,,500621,,--,,
07/1987,,175855,,--,,
08/1987,,108292,,--,,
09/1987,,125453,,--,,
10/1987,,147988,,1.58,,
11/1987,,165486,,1.36,,
12/1987,,194083,,2.91,,
01/1988,,260554,,4.44,,
02/1988,,281961,,0.48,,
03/1988,,240676,,0.77,,
04/1988,,294388,,2.95,,
05/1988,,411176,,0.68,,
06/1988,,300100,,0.08,,
07/1988,,67789,,0.00,,
08/1988,,49037,,0.00,,
09/1988,,62744,,0.01,,
10/1988,,66679,,0.00,,
11/1988,,81229,,2.87,,
12/1988,,102131,,3.05,,
01/1989,,120195,,0.89,,
02/1989,,147580,,2.10,,
03/1989,,166536,,3.50,,
04/1989,,297298,,0.82,,
05/1989,,382558,,0.88,,
06/1989,,185878,,0.00,,
07/1989,,35844,,0.00,,
08/1989,,32761,,0.06,,
09/1989,,36928,,1.25,,
10/1989,,48231,,0.90,,
11/1989,,58085,,0.00,,
12/1989,,67276,,0.00,,
01/1990,,80352,,4.66,,
02/1990,,98938,,2.58,,
03/1990,,105737,,1.56,,
04/1990,,211731,,0.84,,
05/1990,,306003,,2.51,,
06/1990,,204870,,0.00,,
07/1990,,57296,,0.00,,
08/1990,,29050,,0.00,,
09/1990,,29547,,0.05,,
10/1990,,34535,,0.00,,
11/1990,,38337,,0.57,,
12/1990,,42304,,0.99,,
01/1991,,44479,,0.63,,
02/1991,,46406,,1.82,,
03/1991,,171835,,12.04,,
04/1991,,234883,,0.21,,
05/1991,,362236,,0.11,,
06/1991,,347559,,0.13,,
07/1991,,113293,,0.00,,
08/1991,,36029,,0.00,,
09/1991,,42427,,0.00,,
10/1991,,59052,,1.44,,
11/1991,,86012,,0.81,,
12/1991,,87295,,2.38,,
01/1992,,110769,,1.76,,
02/1992,,163330,,6.15,,
03/1992,,208605,,3.48,,
04/1992,,268757,,0.20,,
05/1992,,357024,,0.05,,
06/1992,,163059,,0.00,,
07/1992,,56721,,0.39,,
08/1992,,33548,,0.00,,
09/1992,,31180,,0.07,,
10/1992,,39447,,4.71,,
11/1992,,53108,,0.00,,
12/1992,,76970,,5.72,,
01/1993,,236861,,9.16,,
02/1993,,349887,,6.43,,
03/1993,,514098,,3.47,,
04/1993,,587696,,0.38,,
05/1993,,822873,,0.06,,
06/1993,,925130,,0.96,,
07/1993,,750540,,0.00,,
08/1993,,536322,,0.00,,
09/1993,,428303,,0.00,,
10/1993,,336965,,0.62,,
11/1993,,358940,,2.78,,
12/1993,,388603,,1.63,,
01/1994,,410881,,1.52,,
02/1994,,439947,,4.83,,
03/1994,,476518,,0.47,,
04/1994,,547127,,2.62,,
05/1994,,657732,,1.18,,
06/1994,,466852,,--,,
07/1994,,184911,,--,,
08/1994,,92441,,--,,
09/1994,,102893,,--,,
10/1994,,137373,,1.41,,
11/1994,,161751,,2.84,,
12/1994,,205196,,2.73,,
01/1995,,367731,,9.69,,
02/1995,,473627,,1.40,,
03/1995,,802278,,11.28,,
04/1995,,695817,,1.31,,
05/1995,,611905,,2.53,,
06/1995,,900163,,0.51,,
07/1995,,924846,,0.02,,
08/1995,,726527,,0.00,,
09/1995,,637779,,0.00,,
10/1995,,541732,,0.00,,
11/1995,,563390,,0.00,,
12/1995,,594389,,3.98,,
01/1996,,636718,,5.68,,
02/1996,,797684,,5.24,,
03/1996,,837216,,2.15,,
04/1996,,854899,,1.71,,
05/1996,,915501,,0.65,,
06/1996,,896199,,0.03,,
07/1996,,637917,,0.00,,
08/1996,,406411,,0.00,,
09/1996,,335773,,0.00,,
10/1996,,350428,,1.89,,
11/1996,,438539,,5.13,,
12/1996,,626026,,8.54,,
01/1997,,898039,,8.07,,
02/1997,,741253,,0.89,,
03/1997,,679013,,0.02,,
04/1997,,761007,,0.00,,
05/1997,,897704,,0.00,,
06/1997,,865129,,0.00,,
07/1997,,630007,,0.00,,
08/1997,,432405,,0.00,,
09/1997,,390641,,0.05,,
10/1997,,429129,,0.50,,
11/1997,,464578,,3.23,,
12/1997,,501028,,3.22,,
01/1998,,573991,,7.08,,
02/1998,,750187,,8.45,,
03/1998,,789679,,6.94,,
04/1998,,766806,,2.37,,
05/1998,,688780,,3.66,,
06/1998,,938996,,2.33,,
07/1998,,975523,,0.00,,
08/1998,,789886,,0.00,,
09/1998,,705421,,0.21,,
10/1998,,677916,,0.24,,
11/1998,,672732,,1.15,,
12/1998,,639071,,0.87,,
01/1999,,663371,,5.57,,
02/1999,,728606,,2.39,,
03/1999,,732030,,1.07,,
04/1999,,782751,,2.22,,
05/1999,,888079,,0.03,,
06/1999,,798465,,0.98,,
07/1999,,538643,,0.09,,
08/1999,,395453,,0.00,,
09/1999,,367384,,0.10,,
10/1999,,389424,,0.00,,
11/1999,,396968,,1.07,,
12/1999,,402729,,0.00,,
01/2000,,434709,,6.15,,
02/2000,,540165,,8.35,,
03/2000,,644764,,2.28,,
04/2000,,759485,,1.98,,
05/2000,,954375,,0.72,,
06/2000,,866823,,0.87,,
07/2000,,566074,,0.00,,
08/2000,,390319,,0.00,,
09/2000,,360483,,0.19,,
10/2000,,343194,,2.96,,
11/2000,,378110,,0.10,,
12/2000,,408826,,0.12,,
01/2001,,425117,,3.91,,
02/2001,,454650,,3.83,,
03/2001,,517113,,0.98,,
04/2001,,637179,,3.33,,
05/2001,,855169,,0.00,,
06/2001,,619285,,0.00,,
07/2001,,366240,,0.25,,
08/2001,,278142,,0.00,,
09/2001,,276048,,0.00,,
10/2001,,286752,,0.40,,
11/2001,,314883,,2.41,,
12/2001,,359625,,5.24,,
01/2002,,417338,,1.45,,
02/2002,,446058,,1.01,,
03/2002,,459191,,2.31,,
04/2002,,549898,,1.16,,
05/2002,,616789,,1.04,r,
06/2002,,465166,,0.00,,
07/2002,,200555,,0.00,,
08/2002,,121818,,0.00,,
09/2002,,133296,,0.00,,
10/2002,,143684,,0.00,,
11/2002,,217374,,2.99,,
12/2002,,261655,,4.80,,
01/2003,,305142,,0.36,,
02/2003,,365549,,2.56,,
03/2003,,441279,,1.95,,
04/2003,,523629,,3.16,,
05/2003,,743907,,1.62,,
06/2003,,669557,,0.00,e,
07/2003,,368043,,0.00,,
08/2003,,232560,,0.00,,
09/2003,,181929,,0.00,,
10/2003,,153320,,0.02,,
11/2003,,170884,,0.71,,
12/2003,,210540,,4.22,,
01/2004,,265559,,0.55,,
02/2004,,319830,,4.05,,
03/2004,,433764,,1.32,,
04/2004,,508300,,0.16,,
05/2004,,612582,,0.18,,
06/2004,,408020,,0.00,,
07/2004,,178997,,0.00,,
08/2004,,115564,,0.00,,
09/2004,,114961,,0.00,,
10/2004,,130406,,3.64,,
11/2004,,160965,,0.83,,
12/2004,,203618,,4.37,,
01/2005,,341489,,4.94,,
02/2005,,435277,,3.34,,
03/2005,,568026,,4.14,,
04/2005,,661770,,1.20,,
05/2005,,880390,,3.29,,
06/2005,,981516,,0.02,,
07/2005,,837965,,0.00,,
08/2005,,611949,,0.04,,
09/2005,,517030,,0.36,,
10/2005,,451172,,0.20,,
11/2005,,459542,,0.19,,
12/2005,,521383,,4.96,,
01/2006,,653798,,5.15,,
02/2006,,719421,,1.58,,
03/2006,,843444,,6.53,,
04/2006,,888856,,7.27,,
05/2006,,919004,,0.66,,
06/2006,,987117,,0.00,,
07/2006,,833148,,0.00,,
08/2006,,589199,,0.00,,
09/2006,,465361,,0.00,,
10/2006,,410330,,0.28,,
11/2006,,434823,,0.03,,
12/2006,,467951,,2.56,,
01/2007,,492237,,0.76,,
02/2007,,513109,,4.17,,
03/2007,,559505,,1.80,,
04/2007,,640041,,0.85,,
05/2007,,698332,,0.12,,
06/2007,,507521,,0.00,,
07/2007,,266613,,0.01,,
08/2007,,186556,,0.01,,
09/2007,,185394,,--,,
10/2007,,190288,,0.35,,
11/2007,,198946,,0.08,,
12/2007,,216165,,3.10,,
01/2008,,268992,,5.57,,
02/2008,,345742,,4.34,,
03/2008,,355727,,0.23,,
04/2008,,415266,,0.01,,
05/2008,,529642,,1.34,,
06/2008,,414491,,0.00,,
07/2008,,182384,,0.00,,
08/2008,,128624,,0.00,,
