Date, ,STORAGE&nbsp, ,,LKEVAP&nbsp, ,,
 , ,AF, ,AF, ,
03/1994,,742071,,1800,,
04/1994,,691451,,2120,,
05/1994,,649505,,2820,,
06/1994,,578799,,2910,,
07/1994,,495715,,3370,,
08/1994,,421012,,3450,,
09/1994,,379213,,1950,,
10/1994,,382300,,1490,,
11/1994,,393800,,670,,
12/1994,,425400,,440,,
01/1995,,605700,,540,,
02/1995,,700600,,760,,
03/1995,,1009000,,1380,,
04/1995,,1184000,,2240,,
05/1995,,1399000,,3040,,
06/1995,,1680000,,5700,,
07/1995,,1833000,,7180,,
08/1995,,1791000,,7470,,
09/1995,,1763000,,5450,,
10/1995,,1765000,,4180,,
11/1995,,1784000,,1880,,
12/1995,,1826000,,1110,,
01/1996,,1909000,,1420,,
02/1996,,2037000,,1680,,
03/1996,,2049000,,2760,,
04/1996,,2038000,,3940,,
05/1996,,2162000,,5620,,
06/1996,,2184000,,7490,,
07/1996,,2102000,,9850,,
08/1996,,2031000,,8430,,
09/1996,,1988000,,6560,,
10/1996,,1984670,,3760,,
11/1996,,1989631,,1670,,
12/1996,,2010765,,970,,
01/1997,,2242633,,1230,,
02/1997,,2056588,,1790,,
03/1997,,2022330,,3150,,
04/1997,,1994157,,4620,,
05/1997,,2004776,,7040,,
06/1997,,1966219,,7040,,
07/1997,,1896345,,9130,,
08/1997,,1826729,,7380,,
09/1997,,1819300,,5660,,
10/1997,,1814492,,5280,,
11/1997,,1825365,,1830,,
12/1997,,1853028,,740,,
01/1998,,1925187,,1140,,
02/1998,,1954511,,1290,,
03/1998,,1999129,,2160,,
04/1998,,2052301,,3020,,
05/1998,,2112632,,3930,,
06/1998,,2331120,,5140,,
07/1998,,2340247,,8700,,
08/1998,,2202050,,8220,,
09/1998,,2098590,,5490,,
10/1998,,1997691,,3670,,
11/1998,,1997136,,1220,,
12/1998,,1976860,,860,,
01/1999,,1975979,,970,,
02/1999,,1972359,,1220,,
03/1999,,1997469,,1930,,
04/1999,,1991600,,3550,,
05/1999,,2020537,,5340,,
06/1999,,2034830,,7130,,
07/1999,,1947003,,8760,,
08/1999,,1867854,,7260,,
09/1999,,1828720,,6050,,
10/1999,,1856000,r,2477,,
11/1999,,1866000,r,1880,,
12/1999,,1881000,r,1472,,
01/2000,,1926000,r,859,,
02/2000,,2008000,r,1470,,
03/2000,,2012000,r,2491,,
04/2000,,1996000,r,3834,,
05/2000,,1984000,r,4826,,
06/2000,,1957000,r,7343,,
07/2000,,1891000,r,8329,,
08/2000,,1831000,r,7680,,
09/2000,,1804000,r,5381,,
10/2000,,1822000,,3053,,
11/2000,,1848000,r,1307,,
