Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
03/1986,,194120,,
04/1986,,193610,,
05/1986,,211760,,
06/1986,,201290,,
07/1986,,195260,,
08/1986,,194570,,
09/1986,,189730,,
10/1986,,174440,,
11/1986,,172830,,
12/1986,,177150,,
01/1987,,182610,,
02/1987,,183990,,
03/1987,,191590,,
04/1987,,194140,,
05/1987,,190570,,
06/1987,,190110,,
07/1987,,196720,,
08/1987,,203290,,
09/1987,,206470,,
10/1987,,198500,,
11/1987,,192500,,
12/1987,,190930,,
01/1988,,185140,,
02/1988,,175910,,
03/1988,,173420,,
04/1988,,169360,,
05/1988,,167360,,
06/1988,,178150,,
07/1988,,188090,,
08/1988,,191310,,
09/1988,,193740,,
10/1988,,185660,,
11/1988,,180170,,
12/1988,,174960,,
01/1989,,168720,,
02/1989,,162910,,
03/1989,,192250,,
04/1989,,189410,,
05/1989,,204730,,
06/1989,,201290,,
07/1989,,204600,,
08/1989,,196940,,
09/1989,,198780,,
10/1989,,187000,,
11/1989,,189100,,
12/1989,,186900,,
01/1990,,185800,,
02/1990,,196100,,
03/1990,,191500,,
04/1990,,194000,,
05/1990,,191500,,
06/1990,,188200,,
07/1990,,183900,,
08/1990,,177600,,
09/1990,,173100,,
10/1990,,172140,,
11/1990,,163470,,
12/1990,,157120,,
01/1991,,144010,,
02/1991,,136800,,
03/1991,,149490,,
04/1991,,162210,,
05/1991,,175630,,
06/1991,,179660,,
07/1991,,177030,,
08/1991,,172480,,
09/1991,,171650,,
10/1991,,173520,,
11/1991,,191460,,
12/1991,,188390,,
01/1992,,192420,,
02/1992,,199520,,
03/1992,,194720,,
04/1992,,196440,,
05/1992,,198220,,
06/1992,,177950,,
07/1992,,168300,,
08/1992,,163510,,
09/1992,,157470,,
10/1992,,145600,,
11/1992,,146300,,
12/1992,,157400,,
01/1993,,184000,,
02/1993,,179800,,
03/1993,,194200,,
04/1993,,190500,,
05/1993,,191200,,
06/1993,,205600,,
07/1993,,188300,,
08/1993,,177200,,
09/1993,,177200,,
10/1993,,173500,,
11/1993,,171630,,
12/1993,,177770,,
01/1994,,184500,,
02/1994,,185040,,
03/1994,,184710,,
04/1994,,183250,,
05/1994,,187400,,
06/1994,,183370,,
07/1994,,170890,,
08/1994,,172830,,
09/1994,,174330,,
10/1994,,172730,,
11/1994,,155880,,
12/1994,,148640,,
01/1995,,196200,,
02/1995,,206490,,
03/1995,,199060,,
04/1995,,206890,,
05/1995,,210940,,
06/1995,,211510,,
07/1995,,207090,,
08/1995,,160410,,
09/1995,,157250,,
10/1995,,189880,,
11/1995,,191650,,
12/1995,,205783,,
01/1996,,201640,,
02/1996,,199890,,
03/1996,,203070,,
04/1996,,200610,,
05/1996,,202700,,
06/1996,,197780,,
07/1996,,199850,,
08/1996,,200020,,
09/1996,,200260,,
10/1996,,161850,,
11/1996,,164010,,
12/1996,,186020,,
01/1997,,190960,,
02/1997,,181370,,
03/1997,,175830,,
04/1997,,177070,,
05/1997,,196220,,
06/1997,,196130,,
07/1997,,196930,,
08/1997,,195270,,
09/1997,,196510,,
10/1997,,172200,,
11/1997,,165100,,
12/1997,,162200,,
01/1998,,166030,,
02/1998,,163090,,
03/1998,,199060,,
04/1998,,199510,,
05/1998,,199400,,
06/1998,,198510,,
07/1998,,196270,,
08/1998,,196470,,
09/1998,,187670,,
10/1998,,166250,,
11/1998,,167600,,
12/1998,,166010,,
01/1999,,172770,,
02/1999,,198550,,
03/1999,,175010,,
04/1999,,167240,,
05/1999,,181690,,
06/1999,,194680,,
07/1999,,195160,,
08/1999,,195180,,
09/1999,,194660,,
10/1999,,165020,,
11/1999,,163740,,
12/1999,,166930,,
01/2000,,187610,,
02/2000,,193380,,
03/2000,,186620,,
04/2000,,189660,,
05/2000,,194040,,
06/2000,,188710,,
07/2000,,194040,,
08/2000,,194500,,
09/2000,,191590,,
10/2000,,166310,,
11/2000,,165990,,
12/2000,,163970,,
01/2001,,165280,,
02/2001,,167820,,
03/2001,,181140,,
04/2001,,193690,,
05/2001,,191660,,
06/2001,,196130,,
07/2001,,193320,,
08/2001,,193470,,
09/2001,,196160,,
10/2001,,173970,,
11/2001,,176480,,
12/2001,,177400,,
01/2002,,167510,,
02/2002,,182640,,
03/2002,,181480,,
04/2002,,174200,,
05/2002,,191370,r,
06/2002,,188820,r,
07/2002,,191200,,
08/2002,,191550,,
09/2002,,191420,,
10/2002,,170230,,
11/2002,,171835,,
12/2002,,170437,,
01/2003,,171690,,
02/2003,,166910,,
03/2003,,178550,,
04/2003,,189180,,
05/2003,,190330,,
06/2003,,195050,,
07/2003,,194810,,
08/2003,,193690,,
09/2003,,189900,,
10/2003,,169171,,
11/2003,,167700,,
12/2003,,172268,e,
01/2004,,166610,,
02/2004,,179610,,
03/2004,,184250,,
04/2004,,175660,,
05/2004,,180510,,
06/2004,,193970,,
07/2004,,194770,,
08/2004,,192970,,
09/2004,,191440,,
10/2004,,163640,,
11/2004,,170170,,
12/2004,,171250,,
01/2005,,180253,,
02/2005,,183400,,
03/2005,,185620,,
04/2005,,187420,,
05/2005,,189530,,
06/2005,,196350,,
07/2005,,196165,,
08/2005,,193730,,
09/2005,,194220,,
10/2005,,168100,,
11/2005,,168850,,
12/2005,,201390,,
01/2006,,181040,,
02/2006,,176930,,
03/2006,,193540,,
04/2006,,198420,,
05/2006,,196070,,
06/2006,,197570,,
07/2006,,195180,,
08/2006,,192250,,
09/2006,,191160,,
10/2006,,166950,,
11/2006,,165340,,
12/2006,,162930,,
01/2007,,161050,,
02/2007,,176490,,
03/2007,,181920,,
04/2007,,183000,,
05/2007,,193450,,
06/2007,,191090,,
07/2007,,195600,,
08/2007,,186690,,
09/2007,,178940,,
10/2007,,164450,,
11/2007,,166090,,
12/2007,,170560,,
01/2008,,176260,,
02/2008,,174220,,
03/2008,,179990,,
04/2008,,174370,,
05/2008,,189556,,
06/2008,,187140,,
07/2008,,180111,,
08/2008,,173960,,
09/2008,,162520,,
10/2008,,159390,,
11/2008,,166530,,
12/2008,,167220,,
