Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
12/1994,,56100,,
01/1995,,57900,,
02/1995,,55800,,
03/1995,,59200,,
04/1995,,59600,,
05/1995,,64600,,
06/1995,,64200,,
07/1995,,64100,,
08/1995,,64500,,
09/1995,,61500,,
10/1995,,54400,,
11/1995,,55800,,
12/1995,,56000,,
01/1996,,55500,,
02/1996,,54500,,
03/1996,,56500,,
04/1996,,60900,,
05/1996,,65400,,
06/1996,,64500,,
07/1996,,65600,,
08/1996,,65200,,
09/1996,,60100,,
10/1996,,56116,,
11/1996,,55249,,
12/1996,,56739,,
01/1997,,54748,,
02/1997,,55357,,
03/1997,,56971,,
04/1997,,61024,,
05/1997,,64747,,
06/1997,,65633,,
07/1997,,64476,,
08/1997,,64895,,
09/1997,,59271,,
10/1997,,54078,,
11/1997,,53332,,
12/1997,,53847,,
01/1998,,55812,,
02/1998,,56137,,
03/1998,,58117,,
04/1998,,60675,,
05/1998,,66206,,
06/1998,,65080,,
07/1998,,65104,,
08/1998,,66368,,
09/1998,,60421,,
10/1998,,56872,,
11/1998,,54385,,
12/1998,,56148,,
01/1999,,51996,,
02/1999,,50707,,
03/1999,,54876,,
04/1999,,60294,,
05/1999,,64356,,
06/1999,,65277,,
07/1999,,64882,,
08/1999,,64882,,
09/1999,,62286,,
10/1999,,54406,,
11/1999,,54400,r,
12/1999,,55400,r,
01/2000,,56900,r,
02/2000,,55900,r,
03/2000,,56400,r,
04/2000,,61300,r,
05/2000,,65400,r,
06/2000,,65500,r,
07/2000,,65100,r,
08/2000,,65400,r,
09/2000,,62001,,
10/2000,,53400,r,
11/2000,,44700,r,
12/2000,,43700,r,
01/2001,,55500,r,
02/2001,,56500,r,
03/2001,,56400,r,
04/2001,,61400,r,
05/2001,,66000,r,
06/2001,,65000,r,
07/2001,,65800,r,
08/2001,,65200,r,
09/2001,,61800,r,
10/2001,,54200,r,
11/2001,,54396,,
12/2001,,56311,,
01/2002,,55812,,
02/2002,,56138,,
03/2002,,56246,,
04/2002,,62048,,
05/2002,,65154,,
06/2002,,65400,,
07/2002,,64920,,
08/2002,,65695,,
09/2002,,62202,,
10/2002,,55422,,
11/2002,,54600,r,
12/2002,,54152,,
01/2003,,55336,,
02/2003,,56181,,
03/2003,,57071,,
04/2003,,60826,,
05/2003,,65000,r,
06/2003,,65314,,
07/2003,,65498,,
08/2003,,65646,,
09/2003,,62119,,
10/2003,,56062,,
11/2003,,54545,,
12/2003,,55314,,
01/2004,,55541,,
02/2004,,56486,,
03/2004,,58084,,
04/2004,,60664,,
05/2004,,64784,,
06/2004,,65745,,
07/2004,,65757,,
08/2004,,65166,,
09/2004,,61495,,
10/2004,,52874,,
11/2004,,42903,,
12/2004,,43504,,
01/2005,,54183,,
02/2005,,50355,,
03/2005,,58319,,
04/2005,,59602,,
05/2005,,64797,,
06/2005,,64150,,
07/2005,,64247,,
08/2005,,65437,,
09/2005,,61272,,
10/2005,,56062,,
11/2005,,54983,,
12/2005,,54078,,
01/2006,,55314,,
02/2006,,56541,,
03/2006,,60132,,
04/2006,,60814,,
05/2006,,64969,,
06/2006,,65970,,
07/2006,,65900,r,
08/2006,,65658,,
09/2006,,61177,,
10/2006,,56685,,
11/2006,,55175,,
12/2006,,56289,,
01/2007,,56040,,
02/2007,,56905,,
03/2007,,56246,,
04/2007,,60664,,
05/2007,,65277,,
06/2007,,64477,,
07/2007,,65548,,
08/2007,,64563,,
09/2007,,62310,,
10/2007,,57557,,
11/2007,,55661,,
12/2007,,53984,,
01/2008,,58375,,
02/2008,,55476,,
03/2008,,56279,,
04/2008,,63616,,
05/2008,,65252,,
06/2008,,65572,,
07/2008,,66044,,
08/2008,,64772,,
