Date, ,STORAGE&nbsp, ,,RAIN&nbsp, ,,
 , ,AF, ,INCHES, ,
08/1986,,66862,,0.00,,
09/1986,,61516,,2.20,,
10/1986,,59440,,0.59,,
11/1986,,59300,,0.92,,
12/1986,,59860,,1.96,,
01/1987,,60260,,5.24,,
02/1987,,59120,,4.91,,
03/1987,,--,,6.09,,
04/1987,,65800,,0.33,,
05/1987,,65130,,0.29,,
06/1987,,65320,,0.00,,
07/1987,,66610,,0.00,,
08/1987,,65417,,0.00,,
09/1987,,65040,,0.00,,
10/1987,,62330,,0.69,,
11/1987,,59511,,2.85,,
12/1987,,58880,,7.97,,
01/1988,,59612,,5.65,,
02/1988,,59238,,0.41,,
03/1988,,63701,,1.12,,
04/1988,,65410,,4.45,,
05/1988,,65186,,1.82,,
06/1988,,65550,,0.77,,
07/1988,,65740,,0.01,,
08/1988,,65767,,0.00,,
09/1988,,63860,,0.00,,
10/1988,,63135,,0.04,,
11/1988,,60642,,9.51,,
12/1988,,59360,,5.12,,
01/1989,,59622,,2.81,,
02/1989,,61909,,2.72,,
03/1989,,70469,,14.41,,
04/1989,,67788,,1.76,,
05/1989,,67043,,0.35,,
06/1989,,66728,,0.47,,
07/1989,,67138,,0.00,,
08/1989,,67525,,0.55,,
09/1989,,63420,,3.51,,
10/1989,,59605,,3.81,,
11/1989,,59814,,2.30,,
12/1989,,59598,,0.00,,
01/1990,,59547,,6.94,,
02/1990,,59810,,5.69,,
03/1990,,62027,,2.89,,
04/1990,,66180,,1.18,,
05/1990,,68154,,4.07,,
06/1990,,67565,,0.00,,
07/1990,,67232,,0.03,,
08/1990,,67035,,0.00,,
09/1990,,65250,,0.04,,
10/1990,,61516,,0.49,,
11/1990,,59793,,1.80,,
12/1990,,59145,,0.79,,
01/1991,,59081,,1.10,,
02/1991,,60540,,3.40,,
03/1991,,61240,,16.34,,
04/1991,,66500,,0.84,,
05/1991,,66242,,1.19,,
06/1991,,66736,,0.83,,
07/1991,,67280,,0.00,,
08/1991,,66720,,0.02,,
09/1991,,64924,,0.03,,
10/1991,,61303,,3.22,,
11/1991,,57395,,1.29,,
12/1991,,59159,,3.52,,
01/1992,,59959,,3.61,,
02/1992,,63595,,10.44,,
03/1992,,62303,,3.34,,
04/1992,,67272,,1.10,,
05/1992,,66610,,0.00,,
06/1992,,67035,,0.96,,
07/1992,,67177,,0.00,,
08/1992,,66461,,0.08,,
09/1992,,65201,,0.00,,
10/1992,,60737,,2.66,,
11/1992,,61339,,0.71,,
12/1992,,61716,,11.46,,
01/1993,,61457,,12.10,,
02/1993,,70200,,8.15,,
