Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
07/2008,,68064,,
08/2008,,56114,,
09/2008,,38318,,
10/2008,,25375,,
11/2008,,25131,,
12/2008,,21716,,
01/2009,,27626,,
02/2009,,34750,,
03/2009,,51894,,
04/2009,,69222,,
05/2009,,96989,,
06/2009,,97263,,
07/2009,,90089,,
08/2009,,62977,,
09/2009,,33003,,
10/2009,,26929,,
11/2009,,33590,,
12/2009,,22827,,
01/2010,,21045,,
02/2010,,23566,,
03/2010,,24556,,
04/2010,,29476,,
05/2010,,75087,,
06/2010,,97255,,
07/2010,,96280,,
08/2010,,84059,,
09/2010,,59764,,
10/2010,,41612,,
11/2010,,48869,,
12/2010,,53889,,
01/2011,,56033,,
02/2011,,52592,,
03/2011,,68264,,
04/2011,,79355,,
05/2011,,80721,,
06/2011,,93169,,
07/2011,,97342,,
08/2011,,86040,,
09/2011,,63573,,
10/2011,,59556,,
11/2011,,39272,,
12/2011,,25479,,
01/2012,,25170,,
02/2012,,38948,,
03/2012,,45085,,
04/2012,,55929,,
05/2012,,75385,,
06/2012,,73970,,
07/2012,,64164,,
08/2012,,54632,,
09/2012,,40006,,
10/2012,,49113,,
11/2012,,40213,,
12/2012,,37342,,
01/2013,,32984,,
02/2013,,26073,,
03/2013,,35630,,
04/2013,,56004,,
05/2013,,63512,,
06/2013,,62735,,
07/2013,,62023,,
08/2013,,49041,,
09/2013,,33861,,
10/2013,,38338,,
11/2013,,27095,,
12/2013,,23766,,
01/2014,,20775,,
02/2014,,22673,,
03/2014,,24771,,
04/2014,,27876,,
05/2014,,39814,,
06/2014,,46467,,
07/2014,,44579,,
08/2014,,43159,,
09/2014,,42326,,
10/2014,,37819,,
11/2014,,39113,,
12/2014,,31707,,
01/2015,,24117,,
02/2015,,28262,,
03/2015,,31331,,
04/2015,,34320,,
05/2015,,50401,,
06/2015,,62305,,
07/2015,,62681,,
08/2015,,62511,,
09/2015,,55435,,
10/2015,,40239,,
11/2015,,46839,,
12/2015,,37591,,
01/2016,,--,,
