Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
07/2003,,22664,,
08/2003,,22322,,
09/2003,,21781,,
10/2003,,22174,,
11/2003,,22131,,
12/2003,,22007,,
01/2004,,22186,,
02/2004,,20416,,
03/2004,,20877,,
04/2004,,21313,,
05/2004,,22044,,
06/2004,,22865,,
07/2004,,22670,,
08/2004,,22026,,
09/2004,,21750,,
10/2004,,22087,,
11/2004,,21562,,
12/2004,,22884,,
01/2005,,22557,,
02/2005,,21050,,
03/2005,,21170,,
04/2005,,21854,,
05/2005,,21526,,
06/2005,,22057,,
07/2005,,23434,,
08/2005,,23053,,
09/2005,,22377,,
10/2005,,22038,,
11/2005,,21872,,
12/2005,,20504,,
01/2006,,19829,,
02/2006,,21587,,
03/2006,,21811,,
04/2006,,21483,,
05/2006,,21392,,
06/2006,,21459,,
07/2006,,22303,,
08/2006,,21110,,
09/2006,,21362,,
10/2006,,21550,,
11/2006,,21653,,
12/2006,,21277,,
01/2007,,21116,,
02/2007,,21465,,
03/2007,,20919,,
04/2007,,20293,,
05/2007,,21744,,
06/2007,,21866,,
07/2007,,22396,,
08/2007,,22390,,
09/2007,,22545,,
10/2007,,21927,,
11/2007,,21580,,
12/2007,,20598,,
01/2008,,22032,,
02/2008,,21319,,
03/2008,,20194,,
04/2008,,22859,,
05/2008,,21744,,
06/2008,,20770,,
07/2008,,22739,,
08/2008,,22507,,
09/2008,,21927,,
10/2008,,21799,,
11/2008,,20581,,
12/2008,,21199,,
01/2009,,21587,,
02/2009,,22371,,
03/2009,,20019,,
04/2009,,21199,,
05/2009,,20135,,
06/2009,,22651,,
07/2009,,22557,,
08/2009,,21958,,
09/2009,,21386,,
10/2009,,21787,,
11/2009,,21580,,
12/2009,,21909,,
01/2010,,20487,,
02/2010,,21014,,
03/2010,,22683,,
04/2010,,21659,,
05/2010,,21732,,
06/2010,,22439,,
07/2010,,22865,,
08/2010,,22260,,
09/2010,,22118,,
10/2010,,19656,,
11/2010,,21050,,
12/2010,,19333,,
01/2011,,21116,,
02/2011,,20961,,
03/2011,,18912,,
04/2011,,22620,,
05/2011,,22445,,
06/2011,,23358,,
07/2011,,23066,,
08/2011,,22758,,
09/2011,,22570,,
10/2011,,20722,,
11/2011,,21854,,
12/2011,,19384,,
01/2012,,21193,,
02/2012,,20235,,
03/2012,,22254,,
04/2012,,21356,,
05/2012,,21659,,
06/2012,,21915,,
07/2012,,23022,,
08/2012,,21976,,
09/2012,,22771,,
10/2012,,19271,,
11/2012,,20381,,
12/2012,,21350,,
01/2013,,19198,,
02/2013,,19226,,
03/2013,,21122,,
04/2013,,20411,,
05/2013,,22057,,
06/2013,,22402,,
07/2013,,22545,,
08/2013,,21556,,
09/2013,,22180,,
10/2013,,21580,,
11/2013,,21587,,
12/2013,,19720,,
01/2014,,19400,,
02/2014,,20913,,
03/2014,,21817,,
04/2014,,18149,,
05/2014,,22645,,
06/2014,,21763,,
07/2014,,21008,,
08/2014,,20823,,
09/2014,,19582,,
10/2014,,20817,,
11/2014,,19564,,
12/2014,,19361,,
01/2015,,22359,,
02/2015,,20118,,
03/2015,,21902,,
04/2015,,19743,,
05/2015,,21104,,
06/2015,,22639,,
07/2015,,20627,,
08/2015,,20829,,
09/2015,,19714,,
10/2015,,21423,,
11/2015,,18990,,
12/2015,,22396,,
01/2016,,--,,
