Date, ,STORAGE&nbsp, ,,
 , ,AF, ,
05/1997,,45634,,
06/1997,,45791,,
07/1997,,42887,,
08/1997,,38992,,
09/1997,,28661,,
10/1997,,27705,,
11/1997,,27092,,
12/1997,,23984,,
01/1998,,21274,,
02/1998,,19658,,
03/1998,,17625,,
04/1998,,16313,,
05/1998,,27904,,
06/1998,,44781,,
07/1998,,44135,,
08/1998,,35073,,
09/1998,,32320,,
10/1998,,27459,,
11/1998,,26240,,
12/1998,,23803,,
01/1999,,24396,,
02/1999,,19941,,
03/1999,,15630,,
04/1999,,16064,,
05/1999,,33734,,
06/1999,,42081,,
07/1999,,43107,,
08/1999,,39342,,
09/1999,,33450,,
10/1999,,29269,,
11/1999,,25390,,
12/1999,,22033,,
01/2000,,23619,,
02/2000,,24822,r,
03/2000,,22990,,
04/2000,,34457,,
05/2000,,44498,,
06/2000,,43827,,
07/2000,,41446,,
08/2000,,33491,,
09/2000,,25969,,
10/2000,,19814,r,
11/2000,,18740,r,
12/2000,,15587,r,
01/2001,,14802,r,
02/2001,,14890,r,
03/2001,,17476,r,
04/2001,,23170,r,
05/2001,,32481,r,
06/2001,,31737,r,
07/2001,,29630,r,
08/2001,,28132,r,
09/2001,,26990,r,
10/2001,,25959,r,
11/2001,,25719,r,
12/2001,,24506,r,
01/2002,,19253,r,
02/2002,,18147,r,
03/2002,,20325,r,
04/2002,,30502,r,
05/2002,,40159,r,
06/2002,,42160,r,
07/2002,,40464,r,
08/2002,,38632,r,
09/2002,,34033,r,
10/2002,,30100,r,
11/2002,,29000,r,
12/2002,,23300,r,
01/2003,,22500,r,
02/2003,,20100,r,
03/2003,,22200,r,
04/2003,,27600,r,
05/2003,,37600,r,
06/2003,,42100,r,
07/2003,,38700,r,
08/2003,,36300,r,
09/2003,,30800,r,
10/2003,,28700,r,
11/2003,,27100,r,
12/2003,,28000,r,
01/2004,,25300,r,
02/2004,,24900,r,
03/2004,,24500,r,
04/2004,,33300,r,
05/2004,,40800,r,
06/2004,,42500,r,
07/2004,,37800,r,
08/2004,,31500,r,
09/2004,,25400,r,
10/2004,,24900,r,
11/2004,,24600,r,
12/2004,,24700,r,
01/2005,,18800,r,
02/2005,,15500,r,
03/2005,,18600,r,
04/2005,,20000,r,
05/2005,,41400,r,
06/2005,,41800,r,
07/2005,,40200,r,
08/2005,,36900,r,
09/2005,,34900,r,
10/2005,,25149,,
11/2005,,25021,,
12/2005,,35025,,
01/2006,,31490,,
02/2006,,31938,,
03/2006,,27898,,
04/2006,,27486,,
05/2006,,41412,,
06/2006,,44191,,
07/2006,,41776,,
08/2006,,35146,,
09/2006,,31063,,
10/2006,,21500,r,
11/2006,,21900,r,
12/2006,,22400,r,
01/2007,,22700,r,
02/2007,,24600,r,
03/2007,,29100,r,
04/2007,,37200,r,
05/2007,,42700,r,
06/2007,,42900,r,
07/2007,,40300,r,
08/2007,,38314,,
09/2007,,37688,,
10/2007,,28436,,
11/2007,,25641,,
12/2007,,25014,,
01/2008,,24600,,
02/2008,,21129,,
03/2008,,20875,,
04/2008,,27216,,
05/2008,,39072,,
06/2008,,41885,,
07/2008,,39238,,
08/2008,,35360,,
09/2008,,32356,,
10/2008,,31977,,
11/2008,,29503,,
12/2008,,27413,,
01/2009,,27507,,
02/2009,,28871,,
03/2009,,28436,,
04/2009,,31825,,
05/2009,,42739,,
06/2009,,43030,,
07/2009,,40284,,
08/2009,,35164,,
09/2009,,33330,,
10/2009,,30619,,
11/2009,,29192,,
12/2009,,23529,,
01/2010,,24321,,
02/2010,,25245,,
03/2010,,27330,,
04/2010,,27278,,
05/2010,,32081,,
06/2010,,42595,,
07/2010,,42672,,
08/2010,,41713,,
09/2010,,40590,,
10/2010,,34290,,
11/2010,,30993,,
12/2010,,29783,,
01/2011,,26981,,
02/2011,,22828,,
03/2011,,18743,,
04/2011,,18527,,
05/2011,,24020,,
06/2011,,40537,,
07/2011,,41003,,
08/2011,,35776,,
09/2011,,31298,,
10/2011,,31599,,
11/2011,,31559,,
12/2011,,31432,,
01/2012,,33031,,
02/2012,,33960,,
03/2012,,34025,,
04/2012,,39871,,
05/2012,,42322,,
06/2012,,42459,,
07/2012,,38966,,
08/2012,,34814,,
09/2012,,31510,,
10/2012,,30794,,
11/2012,,31323,,
12/2012,,28789,,
01/2013,,28037,,
02/2013,,29550,,
03/2013,,33995,,
04/2013,,39934,,
05/2013,,42303,,
06/2013,,39643,,
07/2013,,32755,,
08/2013,,28529,,
09/2013,,27345,,
10/2013,,26189,,
11/2013,,25740,,
12/2013,,25656,,
01/2014,,26014,,
02/2014,,29111,,
03/2014,,32973,,
04/2014,,38460,,
05/2014,,42496,,
06/2014,,42117,,
07/2014,,40025,,
08/2014,,34777,,
09/2014,,30922,,
10/2014,,29619,,
11/2014,,26375,,
12/2014,,27334,,
01/2015,,27839,,
02/2015,,32216,,
03/2015,,33702,,
04/2015,,34565,,
05/2015,,36509,,
06/2015,,35482,,
07/2015,,32837,,
08/2015,,31548,,
09/2015,,30682,,
10/2015,,30346,,
11/2015,,30307,,
12/2015,,29311,,
01/2016,,--,,
